,commit ID,author name,committer name,message,URL,commit date,message_preprocessed
0,C_kwDOAD-LgtoAKGQ5YjkxZTM4MzYxNjk2MDE0YmRjOTg0MzRkNmQwMThlYWU4MDk1MTk,Syed Waheed,GitHub,Fixed #32923 -- Refactored out Field._clean_bound_field().,https://api.github.com/repos/django/django/git/commits/d9b91e38361696014bdc98434d6d018eae809519,2024-01-23,Fixed #32923 -- Refactored out Field._clean_bound_field().
0,C_kwDOAD-LgtoAKGQ5YjkxZTM4MzYxNjk2MDE0YmRjOTg0MzRkNmQwMThlYWU4MDk1MTk,Syed Waheed,GitHub,Fixed #32923 -- Refactored out Field._clean_bound_field().,https://api.github.com/repos/django/django/git/commits/d9b91e38361696014bdc98434d6d018eae809519,2024-01-23,
1,C_kwDOAD-LgtoAKGYxNjk3ZWM3YzhmYzg1MWJhYTljODkwYTYwNWFjYjY3ZjA0MjEwZjI,David Smith,GitHub,"Refs #31026 -- Simplified BaseForm.get_context().

bf.errors returns an ErrorList. Access this directly and avoid creating
a new instance in BaseForm.get_context()

Calling str() on the ErrorList can also be deferred to when the
variable used in the template.",https://api.github.com/repos/django/django/git/commits/f1697ec7c8fc851baa9c890a605acb67f04210f2,2023-11-20,Refs #31026 -- Simplified BaseForm.get_context().
1,C_kwDOAD-LgtoAKGYxNjk3ZWM3YzhmYzg1MWJhYTljODkwYTYwNWFjYjY3ZjA0MjEwZjI,David Smith,GitHub,"Refs #31026 -- Simplified BaseForm.get_context().

bf.errors returns an ErrorList. Access this directly and avoid creating
a new instance in BaseForm.get_context()

Calling str() on the ErrorList can also be deferred to when the
variable used in the template.",https://api.github.com/repos/django/django/git/commits/f1697ec7c8fc851baa9c890a605acb67f04210f2,2023-11-20,bf.errors returns an ErrorList
1,C_kwDOAD-LgtoAKGYxNjk3ZWM3YzhmYzg1MWJhYTljODkwYTYwNWFjYjY3ZjA0MjEwZjI,David Smith,GitHub,"Refs #31026 -- Simplified BaseForm.get_context().

bf.errors returns an ErrorList. Access this directly and avoid creating
a new instance in BaseForm.get_context()

Calling str() on the ErrorList can also be deferred to when the
variable used in the template.",https://api.github.com/repos/django/django/git/commits/f1697ec7c8fc851baa9c890a605acb67f04210f2,2023-11-20,"Access this directly and avoid creating
a new instance in BaseForm.get_context()
Calling str() on the ErrorList can also be deferred to when the
variable used in the template."
2,C_kwDOAD-LgtoAKDMxODc4YjRkNzM4NzgzNWM1Y2VjNWU3ZmM1YjQ3M2I3MzcwNjVhNTg,Mariusz Felisiak,Mariusz Felisiak,"Refs #31026 -- Removed ability to return string when rendering ErrorDict/ErrorList.

Per deprecation timeline.",https://api.github.com/repos/django/django/git/commits/31878b4d7387835c5cec5e7fc5b473b737065a58,2023-01-11,Refs #31026 -- Removed ability to return string when rendering ErrorDict/ErrorList.
2,C_kwDOAD-LgtoAKDMxODc4YjRkNzM4NzgzNWM1Y2VjNWU3ZmM1YjQ3M2I3MzcwNjVhNTg,Mariusz Felisiak,Mariusz Felisiak,"Refs #31026 -- Removed ability to return string when rendering ErrorDict/ErrorList.

Per deprecation timeline.",https://api.github.com/repos/django/django/git/commits/31878b4d7387835c5cec5e7fc5b473b737065a58,2023-01-11,Per deprecation timeline.
3,C_kwDOAD-LgtoAKDE4MmQyNWViN2EyMjcyMDY3NDZiZmEzMGFhYjEzYWFhMzRkMWRlODQ,Mariusz Felisiak,Mariusz Felisiak,Refs #31026 -- Removed BaseForm._html_output() per deprecation timeline.,https://api.github.com/repos/django/django/git/commits/182d25eb7a227206746bfa30aab13aaa34d1de84,2023-01-10,Refs #31026 -- Removed BaseForm._html_output() per deprecation timeline.
3,C_kwDOAD-LgtoAKDE4MmQyNWViN2EyMjcyMDY3NDZiZmEzMGFhYjEzYWFhMzRkMWRlODQ,Mariusz Felisiak,Mariusz Felisiak,Refs #31026 -- Removed BaseForm._html_output() per deprecation timeline.,https://api.github.com/repos/django/django/git/commits/182d25eb7a227206746bfa30aab13aaa34d1de84,2023-01-10,
4,C_kwDOAD-LgtoAKDUxZmFmNGJkMTcyY2Q0Y2IyMTlhOTc5M2ZhY2JmYTAwMjQ2YzlmM2M,Francesco Panico,Mariusz Felisiak,"Fixed #34148 -- Reverted ""Fixed #32901 -- Optimized BaseForm.__getitem__().""

This reverts commit edde2a069929c93e37835dc3f7c9a229040058e2.

Thanks Jan Pieter Waagmeester for the report.",https://api.github.com/repos/django/django/git/commits/51faf4bd172cd4cb219a9793facbfa00246c9f3c,2022-11-17,"Fixed #34148 -- Reverted ""Fixed #32901 -- Optimized BaseForm.__getitem__()."""
