,commit ID,author name,committer name,message,URL,commit date,message_preprocessed
0,C_kwDOAZ7xs9oAKGExODY5ZmE4N2U4NzRlODFlN2YxNDcwNjg3Yzg0OThlZjM1ZTFlOTU,Natalia Venditto,GitHub,"http: expose websockets

PR-URL: https://github.com/nodejs/node/pull/53721
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: James M Snell <jasnell@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/a1869fa87e874e81e7f1470687c8498ef35e1e95,2024-07-08,expose websockets
0,C_kwDOAZ7xs9oAKGExODY5ZmE4N2U4NzRlODFlN2YxNDcwNjg3Yzg0OThlZjM1ZTFlOTU,Natalia Venditto,GitHub,"http: expose websockets

PR-URL: https://github.com/nodejs/node/pull/53721
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: James M Snell <jasnell@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/a1869fa87e874e81e7f1470687c8498ef35e1e95,2024-07-08,"PR-URL: Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: James M Snell <jasnell@gmail.com>"
1,C_kwDOAZ7xs9oAKGNiZDJjMzg3Y2UyOTE3NWI5YzI3MzU0MWVhMmVhY2MzMTZkYTBhMWY,Antoine du Hamel,GitHub,"http: remove prototype primordials

Co-authored-by: Yagiz Nizipli <yagiz@nizipli.com>
PR-URL: https://github.com/nodejs/node/pull/53698
Reviewed-By: Yagiz Nizipli <yagiz.nizipli@sentry.io>
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Moshe Atlow <moshe@atlow.co.il>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Luigi Pinca <luigipinca@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Benjamin Gruenbaum <benjamingr@gmail.com>
Reviewed-By: James M Snell <jasnell@gmail.com>
Reviewed-By: Rafael Gonzaga <rafael.nunu@hotmail.com>",https://api.github.com/repos/nodejs/node/git/commits/cbd2c387ce29175b9c273541ea2eacc316da0a1f,2024-07-06,remove prototype primordials
1,C_kwDOAZ7xs9oAKGNiZDJjMzg3Y2UyOTE3NWI5YzI3MzU0MWVhMmVhY2MzMTZkYTBhMWY,Antoine du Hamel,GitHub,"http: remove prototype primordials

Co-authored-by: Yagiz Nizipli <yagiz@nizipli.com>
PR-URL: https://github.com/nodejs/node/pull/53698
Reviewed-By: Yagiz Nizipli <yagiz.nizipli@sentry.io>
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Moshe Atlow <moshe@atlow.co.il>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Luigi Pinca <luigipinca@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Benjamin Gruenbaum <benjamingr@gmail.com>
Reviewed-By: James M Snell <jasnell@gmail.com>
Reviewed-By: Rafael Gonzaga <rafael.nunu@hotmail.com>",https://api.github.com/repos/nodejs/node/git/commits/cbd2c387ce29175b9c273541ea2eacc316da0a1f,2024-07-06,"Co-authored-by: Yagiz Nizipli <yagiz@nizipli.com>
PR-URL: Reviewed-By: Yagiz Nizipli <yagiz.nizipli@sentry.io>
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Moshe Atlow <moshe@atlow.co.il>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Luigi Pinca <luigipinca@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>
Reviewed-By: Benjamin Gruenbaum <benjamingr@gmail.com>
Reviewed-By: James M Snell <jasnell@gmail.com>
Reviewed-By: Rafael Gonzaga <rafael.nunu@hotmail.com>"
2,C_kwDOAZ7xs9oAKDZhYTcxMDE5NjBiN2ZkNmFmMzJkMmNmOWJkN2I3ZGJkOGI5MWYzMGM,Jungku Lee,GitHub,"lib: update params in jsdoc for `HTTPRequestOptions`

PR-URL: https://github.com/nodejs/node/pull/49872
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/6aa7101960b7fd6af32d2cf9bd7b7dbd8b91f30c,2023-09-29,lib: update params in jsdoc for `HTTPRequestOptions`
2,C_kwDOAZ7xs9oAKDZhYTcxMDE5NjBiN2ZkNmFmMzJkMmNmOWJkN2I3ZGJkOGI5MWYzMGM,Jungku Lee,GitHub,"lib: update params in jsdoc for `HTTPRequestOptions`

PR-URL: https://github.com/nodejs/node/pull/49872
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/6aa7101960b7fd6af32d2cf9bd7b7dbd8b91f30c,2023-09-29,"PR-URL: Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>"
3,C_kwDOAZ7xs9oAKDVlYzBmMzlhN2E1NjViNWE4MmZlOTBiYTlmMDk1NzMxYTdiOGIwMDU,Gerrard Lindsay,GitHub,"http: prevent writing to the body when not allowed by HTTP spec

PR-URL: https://github.com/nodejs/node/pull/47732
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/5ec0f39a7a565b5a82fe90ba9f095731a7b8b005,2023-05-13,prevent writing to the body when not allowed by HTTP spec
3,C_kwDOAZ7xs9oAKDVlYzBmMzlhN2E1NjViNWE4MmZlOTBiYTlmMDk1NzMxYTdiOGIwMDU,Gerrard Lindsay,GitHub,"http: prevent writing to the body when not allowed by HTTP spec

PR-URL: https://github.com/nodejs/node/pull/47732
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/5ec0f39a7a565b5a82fe90ba9f095731a7b8b005,2023-05-13,"PR-URL: Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: Marco Ippolito <marcoippolito54@gmail.com>
Reviewed-By: Matteo Collina <matteo.collina@gmail.com>"
4,C_kwDOAZ7xs9oAKDJmYmUxMjRlNjhjMDQwOTA0ZTk5MGMyMzA4M2E2M2UxNjNhMzA4NWQ,HinataKah0,GitHub,"http: add highWaterMark opt in http.createServer

Add highWaterMark option when creating a new HTTP server.
This option will override the default (readable|writable)
highWaterMark values on sockets created.

Fixes: https://github.com/nodejs/node/issues/46606
PR-URL: https://github.com/nodejs/node/pull/47405
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: Debadree Chatterjee <debadree333@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/2fbe124e68c040904e990c23083a63e163a3085d,2023-04-24,add highWaterMark opt in 
4,C_kwDOAZ7xs9oAKDJmYmUxMjRlNjhjMDQwOTA0ZTk5MGMyMzA4M2E2M2UxNjNhMzA4NWQ,HinataKah0,GitHub,"http: add highWaterMark opt in http.createServer

Add highWaterMark option when creating a new HTTP server.
This option will override the default (readable|writable)
highWaterMark values on sockets created.

Fixes: https://github.com/nodejs/node/issues/46606
PR-URL: https://github.com/nodejs/node/pull/47405
Reviewed-By: Robert Nagy <ronagy@icloud.com>
Reviewed-By: Paolo Insogna <paolo@cowtech.it>
Reviewed-By: Debadree Chatterjee <debadree333@gmail.com>",https://api.github.com/repos/nodejs/node/git/commits/2fbe124e68c040904e990c23083a63e163a3085d,2023-04-24,Add highWaterMark option when creating a new HTTP server
