text;predicted_decision;predicted_rationale
mm/vmscan: fix a bug calling wakeup_kswapd() with a wrong zone index;1;1
"With numa balancing on, when a numa system is running where a numa node
doesn't have its local memory so it has no managed zones, the following
oops has been observed";0;1
" It's because wakeup_kswapd() is called with a
wrong zone index, -1";0;0
" Fixed it by checking the index before calling
wakeup_kswapd()";1;1
"> BUG: unable to handle page fault for address: 00000000000033f3
> #PF: supervisor read access in kernel mode
> #PF: error_code(0x0000) - not-present page
> PGD 0 P4D 0
> Oops: 0000 [#1] PREEMPT SMP NOPTI
> CPU: 2 PID: 895 Comm: masim Not tainted 6.6.0-dirty #255
> Hardware name: QEMU Standard PC (i440FX + PIIX, 1996), BIOS
>    rel-1.16.0-0-gd239552ce722-prebuilt.qemu.org 04/01/2014
> RIP: 0010:wakeup_kswapd (./linux/mm/vmscan.c:7812)
> Code: (omitted)
> RSP: 0000:ffffc90004257d58 EFLAGS: 00010286
> RAX: ffffffffffffffff RBX: ffff88883fff0480 RCX: 0000000000000003
> RDX: 0000000000000000 RSI: 0000000000000000 RDI: ffff88883fff0480
> RBP: ffffffffffffffff R08: ff0003ffffffffff R09: ffffffffffffffff
> R10: ffff888106c95540 R11: 0000000055555554 R12: 0000000000000003
> R13: 0000000000000000 R14: 0000000000000000 R15: ffff88883fff0940
> FS:  00007fc4b8124740(0000) GS:ffff888827c00000(0000) knlGS:0000000000000000
> CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033
> CR2: 00000000000033f3 CR3: 000000026cc08004 CR4: 0000000000770ee0
> DR0: 0000000000000000 DR1: 0000000000000000 DR2: 0000000000000000
> DR3: 0000000000000000 DR6: 00000000fffe0ff0 DR7: 0000000000000400
> PKRU: 55555554";0;0
mm/migrate: page_add_anon_rmap() -> folio_add_anon_rmap_pte();1;0
Let's convert remove_migration_pte().;1;0
mm/migrate: page_add_file_rmap() -> folio_add_file_rmap_pte();1;1
Let's convert remove_migration_pte().;1;0
mm/rmap: introduce and use hugetlb_add_file_rmap();1;1
"hugetlb rmap handling differs quite a lot from ""ordinary"" rmap code";0;1
" For
example, hugetlb currently only supports entire mappings, and treats any
mapping as mapped using a single ""logical PTE""";0;0
" Let's move it out of the
way so we can overhaul our ""ordinary"" rmap";1;1
 implementation/interface;0;0
"Right now we're using page_dup_file_rmap() in some cases where ""ordinary""
rmap code would have used page_add_file_rmap()";1;1
" So let's introduce and
use hugetlb_add_file_rmap() instead";1;1
" We won't be adding a
""hugetlb_dup_file_rmap()"" functon for the fork() case, as it would be
doing the same: ""dup"" is just an optimization for ""add""";1;1
What remains is a single page_dup_file_rmap() call in fork() code;1;1
"Add sanity checks that we end up with the right folios in the right
functions.";0;1
